Logger,Plot,Timestamp,Variable,Value,Depth_cm
12,Control,2026-06-07T19:40:00Z,PerAirSat,93.9,30
12,Control,2026-06-07T19:40:00Z,Temp,19.1,30
12,Control,2026-06-07T19:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T19:40:00Z,Temp,19.1,50
12,Control,2026-06-07T19:50:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T19:50:00Z,Temp,19.13,5
12,Control,2026-06-07T19:50:00Z,PerAirSat,98.6,15
12,Control,2026-06-07T19:50:00Z,Temp,19.13,15
12,Control,2026-06-07T19:50:00Z,PerAirSat,93.7,30
12,Control,2026-06-07T19:50:00Z,Temp,19.13,30
12,Control,2026-06-07T19:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T19:50:00Z,Temp,19.13,50
12,Control,2026-06-07T20:00:00Z,PerAirSat,102.8,5
12,Control,2026-06-07T20:00:00Z,Temp,19.14,5
12,Control,2026-06-07T20:00:00Z,PerAirSat,98.6,15
12,Control,2026-06-07T20:00:00Z,Temp,19.14,15
12,Control,2026-06-07T20:00:00Z,PerAirSat,93.6,30
12,Control,2026-06-07T20:00:00Z,Temp,19.14,30
12,Control,2026-06-07T20:00:00Z,PerAirSat,0,50
12,Control,2026-06-07T20:00:00Z,Temp,19.14,50
12,Control,2026-06-07T20:10:00Z,PerAirSat,103,5
12,Control,2026-06-07T20:10:00Z,Temp,19.16,5
12,Control,2026-06-07T20:10:00Z,PerAirSat,98.5,15
12,Control,2026-06-07T20:10:00Z,Temp,19.16,15
12,Control,2026-06-07T20:10:00Z,PerAirSat,93.7,30
12,Control,2026-06-07T20:10:00Z,Temp,19.16,30
12,Control,2026-06-07T20:10:00Z,PerAirSat,0,50
12,Control,2026-06-07T20:10:00Z,Temp,19.16,50
12,Control,2026-06-07T20:20:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T20:20:00Z,Temp,19.18,5
12,Control,2026-06-07T20:20:00Z,PerAirSat,98.4,15
12,Control,2026-06-07T20:20:00Z,Temp,19.18,15
12,Control,2026-06-07T20:20:00Z,PerAirSat,93.6,30
12,Control,2026-06-07T20:20:00Z,Temp,19.18,30
12,Control,2026-06-07T20:20:00Z,PerAirSat,0,50
12,Control,2026-06-07T20:20:00Z,Temp,19.18,50
12,Control,2026-06-07T20:30:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T20:30:00Z,Temp,19.2,5
12,Control,2026-06-07T20:30:00Z,PerAirSat,98.4,15
12,Control,2026-06-07T20:30:00Z,Temp,19.2,15
12,Control,2026-06-07T20:30:00Z,PerAirSat,93.6,30
12,Control,2026-06-07T20:30:00Z,Temp,19.2,30
12,Control,2026-06-07T20:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T20:30:00Z,Temp,19.2,50
12,Control,2026-06-07T20:40:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T20:40:00Z,Temp,19.21,5
12,Control,2026-06-07T20:40:00Z,PerAirSat,98.3,15
12,Control,2026-06-07T20:40:00Z,Temp,19.21,15
12,Control,2026-06-07T20:40:00Z,PerAirSat,93.6,30
12,Control,2026-06-07T20:40:00Z,Temp,19.21,30
12,Control,2026-06-07T20:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T20:40:00Z,Temp,19.21,50
12,Control,2026-06-07T20:50:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T20:50:00Z,Temp,19.22,5
12,Control,2026-06-07T20:50:00Z,PerAirSat,98.2,15
12,Control,2026-06-07T20:50:00Z,Temp,19.22,15
12,Control,2026-06-07T20:50:00Z,PerAirSat,93.5,30
12,Control,2026-06-07T20:50:00Z,Temp,19.22,30
12,Control,2026-06-07T20:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T20:50:00Z,Temp,19.22,50
12,Control,2026-06-07T21:00:00Z,PerAirSat,103,5
