Plot,Timestamp,Value,Sapflow_ID,Logger,Port,Species,Out_Of_Plot,BattV_Avg,Grid_Square
Control,2026-06-01T16:45:00Z,0.358,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T17:00:00Z,0.619,C7,11,1,ACRU,FALSE,13.64,B3
Control,2026-06-01T17:00:00Z,NA,C19,11,2,ACRU,FALSE,13.64,A1
Control,2026-06-01T17:00:00Z,1.068,C10,11,3,ACRU,FALSE,13.64,D4
Control,2026-06-01T17:00:00Z,0.42,C11,11,4,ACRU,FALSE,13.64,F2
Control,2026-06-01T17:00:00Z,0.318,C16,11,5,FAGR,FALSE,13.64,E4
Control,2026-06-01T17:00:00Z,0.359,C18,11,6,FAGR,TRUE,13.64,G1
Control,2026-06-01T17:15:00Z,0.62,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T17:15:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T17:15:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T17:15:00Z,0.42,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T17:15:00Z,0.32,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T17:15:00Z,0.36,C18,11,6,FAGR,TRUE,13.65,G1
